image_path,has_road,pothole_count,pothole_severity,pothole_confidence,garbage_count,garbage_severity,garbage_confidence,overall_score,overall_rating
../sv_images/mumbai/loc_5307_point_0_img_0_h323_p-15.jpg,True,0,0,0,0,0,0.0,10.0,Excellent
../sv_images/mumbai/loc_1616_point_0_img_0_h339_p9.jpg,True,0,0,0,0,0,0.0,10.0,Excellent
../sv_images/mumbai/loc_2600_point_0_img_0_h4_p13.jpg,False,0,0,0,0,0,0.0,,Not applicable - No road detected
../sv_images/mumbai/loc_2881_point_0_img_0_h309_p0.jpg,False,0,0,0,1,1,0.8197828,,Not applicable - No road detected
../sv_images/mumbai/loc_132_point_0_img_0_h304_p-4.jpg,False,0,0,0,0,0,0.0,,Not applicable - No road detected
../sv_images/mumbai/loc_3475_point_0_img_0_h297_p5.jpg,False,0,0,0,0,0,0.0,,Not applicable - No road detected
../sv_images/mumbai/loc_1032_point_0_img_0_h187_p17.jpg,False,0,0,0,0,0,0.0,,Not applicable - No road detected
../sv_images/mumbai/loc_3649_point_0_img_0_h178_p-27.jpg,False,0,0,0,0,0,0.0,,Not applicable - No road detected
../sv_images/mumbai/loc_3838_point_0_img_0_h310_p13.jpg,False,0,0,0,0,0,0.0,,Not applicable - No road detected
../sv_images/mumbai/loc_5229_point_0_img_0_h85_p17.jpg,False,0,0,0,0,0,0.0,,Not applicable - No road detected
../sv_images/mumbai/loc_2124_point_0_img_0_h50_p-6.jpg,False,0,0,0,0,0,0.0,,Not applicable - No road detected
../sv_images/mumbai/loc_1097_point_0_img_0_h52_p0.jpg,True,0,0,0,0,0,0.0,10.0,Excellent
../sv_images/mumbai/loc_4855_point_0_img_0_h199_p-12.jpg,True,0,0,0,0,0,0.0,10.0,Excellent
../sv_images/mumbai/loc_1533_point_0_img_0_h332_p-25.jpg,True,0,0,0,0,0,0.0,10.0,Excellent
../sv_images/mumbai/loc_2302_point_0_img_0_h23_p9.jpg,True,0,0,0,0,0,0.0,10.0,Excellent
../sv_images/mumbai/loc_2525_point_0_img_0_h61_p-22.jpg,False,0,0,0,0,0,0.0,,Not applicable - No road detected
../sv_images/mumbai/loc_3463_point_0_img_0_h311_p8.jpg,False,0,0,0,0,0,0.0,,Not applicable - No road detected
../sv_images/mumbai/loc_2694_point_0_img_0_h259_p25.jpg,False,0,0,0,0,0,0.0,,Not applicable - No road detected
../sv_images/mumbai/loc_4801_point_0_img_0_h248_p-23.jpg,True,0,0,0,0,0,0.0,10.0,Excellent
../sv_images/mumbai/loc_2271_point_0_img_0_h331_p23.jpg,True,0,0,0,0,0,0.0,10.0,Excellent
../sv_images/mumbai/loc_676_point_0_img_0_h14_p-9.jpg,False,0,0,0,0,0,0.0,,Not applicable - No road detected
../sv_images/mumbai/loc_3365_point_0_img_0_h54_p13.jpg,True,0,0,0,0,0,0.0,10.0,Excellent
../sv_images/mumbai/loc_3390_point_0_img_0_h108_p11.jpg,True,0,0,0,0,0,0.0,10.0,Excellent
../sv_images/mumbai/loc_3195_point_0_img_0_h266_p10.jpg,True,0,0,0,0,0,0.0,10.0,Excellent
../sv_images/mumbai/loc_324_point_0_img_0_h95_p0.jpg,True,0,0,0,0,0,0.0,10.0,Excellent
